,hits@5_count,hits@10_count,precision@5,precision@10,_person_id
0,0,0,0.0,0.0,429
1,0,0,0.0,0.0,107
2,1,2,0.2,0.2,191
3,0,0,0.0,0.0,99
4,0,0,0.0,0.0,54
5,0,0,0.0,0.0,35
6,0,0,0.0,0.0,468
7,0,0,0.0,0.0,353
8,0,0,0.0,0.0,40
9,0,0,0.0,0.0,604
10,0,0,0.0,0.0,145
11,0,0,0.0,0.0,136
12,0,0,0.0,0.0,130
13,0,0,0.0,0.0,444
14,0,0,0.0,0.0,284
15,0,0,0.0,0.0,536
16,0,0,0.0,0.0,134
17,0,0,0.0,0.0,436
18,0,0,0.0,0.0,242
19,0,0,0.0,0.0,314
20,0,0,0.0,0.0,574
21,1,2,0.2,0.2,385
22,0,1,0.0,0.1,349
23,0,0,0.0,0.0,46
24,0,0,0.0,0.0,584
25,0,0,0.0,0.0,476
26,0,0,0.0,0.0,192
27,0,0,0.0,0.0,14
28,0,0,0.0,0.0,411
29,0,0,0.0,0.0,541
30,0,0,0.0,0.0,273
31,0,0,0.0,0.0,56
32,0,0,0.0,0.0,102
33,0,0,0.0,0.0,455
34,0,0,0.0,0.0,162
35,0,0,0.0,0.0,229
36,0,0,0.0,0.0,26
37,0,0,0.0,0.0,447
38,0,0,0.0,0.0,243
39,0,0,0.0,0.0,592
40,0,0,0.0,0.0,485
41,0,0,0.0,0.0,404
42,0,0,0.0,0.0,142
43,0,0,0.0,0.0,507
44,0,0,0.0,0.0,394
45,0,0,0.0,0.0,498
46,0,0,0.0,0.0,588
47,0,0,0.0,0.0,8
48,0,0,0.0,0.0,486
49,0,0,0.0,0.0,176
50,0,0,0.0,0.0,262
51,0,0,0.0,0.0,170
52,0,0,0.0,0.0,602
53,0,0,0.0,0.0,179
54,0,1,0.0,0.1,109
55,0,0,0.0,0.0,38
56,0,0,0.0,0.0,235
57,0,0,0.0,0.0,512
58,0,0,0.0,0.0,395
59,1,1,0.2,0.1,386
60,0,0,0.0,0.0,321
61,0,0,0.0,0.0,530
62,0,0,0.0,0.0,173
63,0,0,0.0,0.0,94
64,0,0,0.0,0.0,133
65,0,0,0.0,0.0,446
66,0,0,0.0,0.0,117
67,0,0,0.0,0.0,501
68,0,0,0.0,0.0,37
69,0,0,0.0,0.0,81
70,0,0,0.0,0.0,181
71,1,1,0.2,0.1,559
72,0,0,0.0,0.0,6
73,0,0,0.0,0.0,458
74,0,1,0.0,0.1,126
75,0,0,0.0,0.0,565
76,0,1,0.0,0.1,373
77,0,0,0.0,0.0,609
78,0,0,0.0,0.0,379
79,0,0,0.0,0.0,5
80,0,0,0.0,0.0,347
81,0,0,0.0,0.0,121
82,0,0,0.0,0.0,58
83,0,0,0.0,0.0,174
84,0,1,0.0,0.1,340
85,1,1,0.2,0.1,43
86,0,0,0.0,0.0,566
87,0,0,0.0,0.0,470
88,0,0,0.0,0.0,374
89,0,0,0.0,0.0,240
90,0,0,0.0,0.0,569
91,0,0,0.0,0.0,402
92,0,0,0.0,0.0,31
93,0,1,0.0,0.1,544
94,0,0,0.0,0.0,206
95,0,0,0.0,0.0,269
96,1,1,0.2,0.1,524
97,1,1,0.2,0.1,521
98,0,0,0.0,0.0,270
99,0,0,0.0,0.0,214
100,0,0,0.0,0.0,451
101,0,0,0.0,0.0,150
102,0,1,0.0,0.1,302
103,0,0,0.0,0.0,529
104,1,1,0.2,0.1,151
105,0,0,0.0,0.0,589
106,0,0,0.0,0.0,90
107,0,1,0.0,0.1,32
108,0,0,0.0,0.0,456
109,0,0,0.0,0.0,84
110,0,0,0.0,0.0,389
111,0,0,0.0,0.0,276
112,0,1,0.0,0.1,437
113,0,0,0.0,0.0,120
114,0,0,0.0,0.0,337
115,1,2,0.2,0.2,277
116,0,0,0.0,0.0,492
117,0,0,0.0,0.0,71
118,1,1,0.2,0.1,350
119,0,0,0.0,0.0,171
120,1,1,0.2,0.1,44
121,0,0,0.0,0.0,364
122,0,0,0.0,0.0,372
123,1,1,0.2,0.1,304
124,0,0,0.0,0.0,481
125,0,0,0.0,0.0,360
126,0,0,0.0,0.0,85
127,0,0,0.0,0.0,163
128,0,0,0.0,0.0,128
129,0,0,0.0,0.0,297
130,0,0,0.0,0.0,11
131,0,0,0.0,0.0,283
132,0,0,0.0,0.0,149
133,0,0,0.0,0.0,467
134,0,0,0.0,0.0,575
135,0,0,0.0,0.0,595
136,0,0,0.0,0.0,535
137,0,0,0.0,0.0,412
138,1,1,0.2,0.1,201
139,0,1,0.0,0.1,33
140,1,1,0.2,0.1,156
141,0,0,0.0,0.0,315
142,1,1,0.2,0.1,268
143,0,0,0.0,0.0,597
144,1,3,0.2,0.3,199
145,0,0,0.0,0.0,263
146,0,0,0.0,0.0,208
147,0,0,0.0,0.0,547
148,0,0,0.0,0.0,93
149,1,3,0.2,0.3,140
150,0,0,0.0,0.0,236
151,0,0,0.0,0.0,383
152,3,4,0.6,0.4,266
153,1,1,0.2,0.1,554
154,0,0,0.0,0.0,118
155,1,2,0.2,0.2,115
156,0,0,0.0,0.0,4
157,0,0,0.0,0.0,572
158,0,0,0.0,0.0,577
159,0,0,0.0,0.0,197
160,0,0,0.0,0.0,225
161,0,0,0.0,0.0,45
162,0,0,0.0,0.0,245
163,0,0,0.0,0.0,587
164,0,0,0.0,0.0,59
165,2,2,0.4,0.2,603
166,0,0,0.0,0.0,217
167,0,0,0.0,0.0,579
168,0,0,0.0,0.0,267
169,2,2,0.4,0.2,465
170,2,3,0.4,0.3,414
