,hits@5_count,hits@10_count,interacted_count,recall@5,recall@10,_person_id
413,79,103,539,0.14656771799628943,0.19109461966604824,414
598,30,62,495,0.06060606060606061,0.12525252525252525,599
473,103,135,421,0.24465558194774348,0.32066508313539194,474
447,36,56,372,0.0967741935483871,0.15053763440860216,448
273,104,126,269,0.38661710037174724,0.4684014869888476,274
609,56,81,260,0.2153846153846154,0.31153846153846154,610
67,98,119,252,0.3888888888888889,0.4722222222222222,68
379,60,92,243,0.24691358024691357,0.3786008230452675,380
605,56,70,223,0.25112107623318386,0.31390134529147984,606
287,58,70,211,0.27488151658767773,0.33175355450236965,288
248,81,118,209,0.3875598086124402,0.5645933014354066,249
386,47,68,205,0.22926829268292684,0.33170731707317075,387
181,89,104,195,0.4564102564102564,0.5333333333333333,182
306,70,93,195,0.358974358974359,0.47692307692307695,307
602,44,64,188,0.23404255319148937,0.3404255319148936,603
297,40,68,187,0.21390374331550802,0.36363636363636365,298
176,42,66,180,0.23333333333333334,0.36666666666666664,177
317,15,30,175,0.08571428571428572,0.17142857142857143,318
231,62,76,172,0.36046511627906974,0.4418604651162791,232
479,145,151,167,0.8682634730538922,0.9041916167664671,480
607,95,124,166,0.572289156626506,0.7469879518072289,608
599,75,102,152,0.4934210526315789,0.6710526315789473,600
589,74,92,145,0.5103448275862069,0.6344827586206897,590
482,63,74,145,0.43448275862068964,0.5103448275862069,483
104,20,27,144,0.1388888888888889,0.1875,105
18,60,81,140,0.42857142857142855,0.5785714285714286,19
304,68,85,135,0.5037037037037037,0.6296296296296297,305
488,109,118,129,0.8449612403100775,0.9147286821705426,489
110,42,57,129,0.32558139534883723,0.4418604651162791,111
437,65,77,127,0.5118110236220472,0.6062992125984252,438
216,36,55,122,0.29508196721311475,0.45081967213114754,217
139,38,48,121,0.3140495867768595,0.39669421487603307,140
476,35,44,120,0.2916666666666667,0.36666666666666664,477
554,39,59,115,0.3391304347826087,0.5130434782608696,555
90,15,29,115,0.13043478260869565,0.25217391304347825,91
27,58,73,114,0.5087719298245614,0.6403508771929824,28
218,60,69,105,0.5714285714285714,0.6571428571428571,219
533,29,51,104,0.27884615384615385,0.49038461538461536,534
88,0,0,103,0.0,0.0,89
63,59,84,103,0.5728155339805825,0.8155339805825242,64
225,65,75,101,0.6435643564356436,0.7425742574257426,226
560,69,81,101,0.6831683168316832,0.801980198019802,561
17,23,38,100,0.23,0.38,18
524,58,75,100,0.58,0.75,525
56,41,57,95,0.43157894736842106,0.6,57
380,59,62,94,0.6276595744680851,0.6595744680851063,381
367,49,66,93,0.5268817204301075,0.7096774193548387,368
508,43,52,93,0.46236559139784944,0.5591397849462365,509
468,64,78,93,0.6881720430107527,0.8387096774193549,469
461,17,23,91,0.18681318681318682,0.25274725274725274,462
559,26,40,91,0.2857142857142857,0.43956043956043955,560
291,41,58,89,0.4606741573033708,0.651685393258427,292
596,56,69,88,0.6363636363636364,0.7840909090909091,597
41,31,47,88,0.3522727272727273,0.5340909090909091,42
20,46,66,88,0.5227272727272727,0.75,21
579,40,55,87,0.45977011494252873,0.632183908045977,580
159,38,45,87,0.4367816091954023,0.5172413793103449,160
293,42,57,87,0.4827586206896552,0.6551724137931034,294
595,13,19,82,0.15853658536585366,0.23170731707317074,596
516,33,42,80,0.4125,0.525,517
274,41,58,80,0.5125,0.725,275
201,26,47,80,0.325,0.5875,202
155,39,45,79,0.4936708860759494,0.569620253164557,156
44,52,62,79,0.6582278481012658,0.7848101265822784,45
513,11,19,79,0.13924050632911392,0.24050632911392406,514
390,44,55,77,0.5714285714285714,0.7142857142857143,391
566,12,24,77,0.15584415584415584,0.3116883116883117,567
356,40,49,76,0.5263157894736842,0.6447368421052632,357
102,34,46,75,0.4533333333333333,0.6133333333333333,103
338,35,43,74,0.47297297297297297,0.581081081081081,339
61,33,47,73,0.4520547945205479,0.6438356164383562,62
198,25,33,72,0.3472222222222222,0.4583333333333333,199
124,7,16,72,0.09722222222222222,0.2222222222222222,125
50,41,49,71,0.5774647887323944,0.6901408450704225,51
131,44,52,69,0.6376811594202898,0.7536231884057971,132
65,13,21,69,0.18840579710144928,0.30434782608695654,66
312,42,49,68,0.6176470588235294,0.7205882352941176,313
199,32,54,66,0.48484848484848486,0.8181818181818182,200
220,27,43,66,0.4090909090909091,0.6515151515151515,221
452,37,51,62,0.5967741935483871,0.8225806451612904,453
5,10,18,62,0.16129032258064516,0.2903225806451613,6
49,26,34,62,0.41935483870967744,0.5483870967741935,50
424,28,41,61,0.45901639344262296,0.6721311475409836,425
427,41,50,60,0.6833333333333333,0.8333333333333334,428
572,42,53,59,0.711864406779661,0.8983050847457628,573
83,21,27,58,0.3620689655172414,0.46551724137931033,84
351,42,49,58,0.7241379310344828,0.8448275862068966,352
381,8,17,58,0.13793103448275862,0.29310344827586204,382
121,22,38,58,0.3793103448275862,0.6551724137931034,122
355,35,39,57,0.6140350877192983,0.6842105263157895,356
483,11,30,55,0.2,0.5454545454545454,484
134,30,40,55,0.5454545454545454,0.7272727272727273,135
364,14,25,55,0.2545454545454545,0.45454545454545453,365
238,43,50,55,0.7818181818181819,0.9090909090909091,239
324,19,27,54,0.35185185185185186,0.5,325
62,46,46,54,0.8518518518518519,0.8518518518518519,63
103,22,31,54,0.4074074074074074,0.5740740740740741,104
289,32,38,53,0.6037735849056604,0.7169811320754716,290
494,15,35,53,0.2830188679245283,0.660377358490566,495
331,17,23,53,0.32075471698113206,0.4339622641509434,332
168,37,43,53,0.6981132075471698,0.8113207547169812,169
431,23,31,52,0.4423076923076923,0.5961538461538461,432
186,24,30,51,0.47058823529411764,0.5882352941176471,187
327,40,48,51,0.7843137254901961,0.9411764705882353,328
221,23,30,50,0.46,0.6,222
211,17,31,49,0.3469387755102041,0.6326530612244898,212
329,43,45,49,0.8775510204081632,0.9183673469387755,330
19,31,36,48,0.6458333333333334,0.75,20
371,34,38,47,0.723404255319149,0.8085106382978723,372
281,37,43,47,0.7872340425531915,0.9148936170212766,282
561,15,29,46,0.32608695652173914,0.6304347826086957,562
593,26,33,46,0.5652173913043478,0.717391304347826,594
197,25,29,46,0.5434782608695652,0.6304347826086957,198
433,44,45,46,0.9565217391304348,0.9782608695652174,434
0,28,32,46,0.6086956521739131,0.6956521739130435,1
81,25,32,45,0.5555555555555556,0.7111111111111111,82
185,29,36,45,0.6444444444444445,0.8,186
353,31,43,45,0.6888888888888889,0.9555555555555556,354
604,10,17,44,0.22727272727272727,0.38636363636363635,605
311,24,27,44,0.5454545454545454,0.6136363636363636,312
40,32,35,43,0.7441860465116279,0.813953488372093,41
303,24,29,43,0.5581395348837209,0.6744186046511628,304
118,16,23,43,0.37209302325581395,0.5348837209302325,119
3,22,30,43,0.5116279069767442,0.6976744186046512,4
562,10,20,42,0.23809523809523808,0.47619047619047616,563
262,27,30,42,0.6428571428571429,0.7142857142857143,263
72,32,40,42,0.7619047619047619,0.9523809523809523,73
219,19,24,41,0.4634146341463415,0.5853658536585366,220
585,22,27,41,0.5365853658536586,0.6585365853658537,586
245,19,26,40,0.475,0.65,246
451,25,31,40,0.625,0.775,452
233,10,16,40,0.25,0.4,234
384,29,34,40,0.725,0.85,385
521,22,33,40,0.55,0.825,522
279,11,23,39,0.28205128205128205,0.5897435897435898,280
138,9,24,38,0.23684210526315788,0.631578947368421,139
569,25,30,38,0.6578947368421053,0.7894736842105263,570
165,34,34,38,0.8947368421052632,0.8947368421052632,166
551,11,23,37,0.2972972972972973,0.6216216216216216,552
194,18,28,37,0.4864864864864865,0.7567567567567568,195
366,11,13,37,0.2972972972972973,0.35135135135135137,367
316,25,30,37,0.6756756756756757,0.8108108108108109,317
519,13,20,37,0.35135135135135137,0.5405405405405406,520
606,20,23,37,0.5405405405405406,0.6216216216216216,607
265,26,28,36,0.7222222222222222,0.7777777777777778,266
478,17,19,36,0.4722222222222222,0.5277777777777778,479
278,18,27,35,0.5142857142857142,0.7714285714285715,279
152,12,16,35,0.34285714285714286,0.45714285714285713,153
73,14,20,35,0.4,0.5714285714285714,74
166,27,31,34,0.7941176470588235,0.9117647058823529,167
255,15,22,34,0.4411764705882353,0.6470588235294118,256
79,9,15,33,0.2727272727272727,0.45454545454545453,80
526,13,20,33,0.3939393939393939,0.6060606060606061,527
409,20,26,33,0.6060606060606061,0.7878787878787878,410
140,23,27,33,0.696969696969697,0.8181818181818182,141
586,17,23,33,0.5151515151515151,0.696969696969697,587
94,24,32,33,0.7272727272727273,0.9696969696969697,95
330,21,30,33,0.6363636363636364,0.9090909090909091,331
116,20,26,33,0.6060606060606061,0.7878787878787878,117
576,12,19,32,0.375,0.59375,577
215,11,16,32,0.34375,0.5,216
345,19,23,32,0.59375,0.71875,346
264,4,7,32,0.125,0.21875,265
563,6,18,31,0.1935483870967742,0.5806451612903226,564
418,13,20,31,0.41935483870967744,0.6451612903225806,419
474,21,23,31,0.6774193548387096,0.7419354838709677,475
571,17,26,31,0.5483870967741935,0.8387096774193549,572
32,14,21,31,0.45161290322580644,0.6774193548387096,33
112,8,10,30,0.26666666666666666,0.3333333333333333,113
232,18,20,30,0.6,0.6666666666666666,233
333,9,12,30,0.3,0.4,334
259,20,25,30,0.6666666666666666,0.8333333333333334,260
6,7,13,30,0.23333333333333334,0.43333333333333335,7
325,19,20,30,0.6333333333333333,0.6666666666666666,326
286,19,23,30,0.6333333333333333,0.7666666666666667,287
